id;code;uic;naam;middel_naam;korte_naam;friendly;land;type;geo_lat;geo_lng
266;ht;8400319;'s-Hertogenbosch;'s-Hertogenbosch;H'bosch;s-hertogenbosch;NL;knooppuntintercitystation;51.69048;5.29362
269;hto;8400320;'s-Hertogenbosch Oost;Hertogenbosch O.;H'bosch O;s-hertogenbosch-oost;NL;stoptreinstation;51.700553894043;5.3183331489563
227;hde;8400388;'t Harde;'t Harde;'t Harde;t-harde;NL;stoptreinstation;52.4091682;5.893611
51;atn;8400045;Aalten;Aalten;Aalten;aalten;NL;stoptreinstation;51.9213265245505;6.57862722873687
5;ac;8400047;Abcoude;Abcoude;Abcoude;abcoude;NL;stoptreinstation;52.2785;4.977
14;akm;8400049;Akkrum;Akkrum;Akkrum;akkrum;NL;stoptreinstation;53.0463905334473;5.84361124038696
26;amr;8400050;Alkmaar;Alkmaar;Alkmaar;alkmaar;NL;knooppuntintercitystation;52.6377792358398;4.73972225189209
28;amrn;8400052;Alkmaar Noord;Alkmaar Noord;Alkmaar N;alkmaar-noord;NL;stoptreinstation;52.6438903808594;4.76416683197022
25;aml;8400051;Almelo;Almelo;Almelo;almelo;NL;knooppuntintercitystation;52.3580551147461;6.65388870239258
27;amri;8400520;Almelo de Riet;Almelo de Riet;de Riet;almelo-de-riet;NL;stoptreinstation;52.3419456481934;6.66666650772095
18;almb;8400081;Almere Buiten;Almere Buiten;Buiten;almere-buiten;NL;stoptreinstation;52.3941650390625;5.2780556678772
17;alm;8400080;Almere Centrum;Almere C.;Almere C;almere-centrum;NL;knooppuntintercitystation;52.37503;5.21764
19;almm;8400082;Almere Muziekwijk;Muziekwijk;Muziekwijk;almere-muziekwijk;NL;stoptreinstation;52.3675003051758;5.19027757644653
20;almo;8400226;Almere Oostvaarders;Oostvaarders;Oostvaard;almere-oostvaarders;NL;stoptreinstation;52.4033317565918;5.30055570602417
21;almp;8400104;Almere Parkwijk;Almere Parkwijk;Parkwijk;almere-parkwijk;NL;stoptreinstation;52.3766670227051;5.24472236633301
680;ampo;8400450;Almere Poort;Almere Poort;Almere P;almere-poort;NL;stoptreinstation;52.342778;5.151944
36;apn;8400053;Alphen a/d Rijn;Alphen a/d Rijn;Alphen;alphen-a-d-rijn;NL;knooppuntintercitystation;52.1244430541992;4.65777778625488
23;amf;8400055;Amersfoort;Amersfoort;Amersfoort;amersfoort;NL;knooppuntintercitystation;52.1538887023926;5.37055540084839
24;amfs;8400054;Amersfoort Schothorst;Schothorst;Schothorst;amersfoort-schothorst;NL;stoptreinstation;52.1748221374512;5.40388870239258
54;avat;8400228;Amersfoort Vathorst;Vathorst;Vathorst;amersfoort-vathorst;NL;sneltreinstation;52.1927795410156;5.43388891220093
40;asa;8400057;Amsterdam Amstel;Amsterdam Amstel;Amstel;amsterdam-amstel;NL;intercitystation;52.3466682434082;4.91777801513672
41;asb;8400074;Amsterdam Bijlmer ArenA;Bijlmer ArenA;Bijlmer A;amsterdam-bijlmer-arena;NL;knooppuntstoptreinstation;52.3122215270996;4.94694423675537
